NN RG GW GW RD RD RR RR RG RG GY NN
NN RR RR GY RD RD RR RR GW RB GY RG
NN RR RR RB RR RB GW RD RR RR RG NN
NN NN NN RR NN NN NN NN NN NN NN NN
NN NN RR NN NN NN NN NN NN NN NN NN
NN NN NN NN NN NN NN NN NN NN NN NN
NN NN NN NN NN NN NN NN NN NN NN NN
NN NN NN NN NN NN NN NN NN NN NN NN
NN NN NN NN NN NN NN NN NN NN NN NN
NN NN NN NN NN NN NN NN NN NN NN NN
NN NN NN NN NN NN NN NN NN NN NN NN
NN NN NN NN NN NN NN NN NN NN NN NN
NN NN NN NN NN NN NN NN NN NN NN NN
NN NN NN NN NN NN NN NN NN NN NN NN
